ticker,final_score,trade_action,raw_score,options_score,ivp,vrp,ivp_score,vrp_score,phi_score,psi_score,si_avoidance_score,put_skew_penalty,scoring_date,signal_version,regime,regime_gate
AARD,0.0,AVOID,50.0,50.0,,,,,0.0,0.0,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
ABBV,0.0,AVOID,16.218,16.218,11.864406779661016,-0.004578643754435,8.93,27.15,11.864406779661016,-0.004578643754435,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
ABCL,0.0,AVOID,49.922,49.922,64.40677966101694,2.0288311689767653,64.29,28.37,64.40677966101694,2.0288311689767653,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
ABEO,0.0,AVOID,85.424,85.424,86.4406779661017,92.26641875248694,87.5,82.31,86.4406779661017,92.26641875248694,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
ABOS,0.0,AVOID,67.758,67.758,61.01694915254237,85.59802160187394,60.71,78.33,61.01694915254237,85.59802160187394,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
ABSI,0.0,AVOID,57.074,57.074,71.1864406779661,14.030200817845,71.43,35.54,71.1864406779661,14.030200817845,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
ABT,0.0,AVOID,61.436,61.436,81.35593220338984,5.394585714448109,82.14,30.38,81.35593220338984,5.394585714448109,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
ABUS,0.0,AVOID,23.338,23.338,13.559322033898304,25.301883837191237,10.71,42.28,13.559322033898304,25.301883837191237,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
ABVX,0.0,AVOID,33.196,33.196,27.11864406779661,30.670270015116145,25.0,45.49,27.11864406779661,30.670270015116145,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
ACAD,0.0,AVOID,29.586,29.586,35.59322033898305,-6.833947066509367,33.93,23.07,35.59322033898305,-6.833947066509367,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
ACB,0.0,AVOID,18.818,18.818,16.94915254237288,-2.5878059094009416,14.29,25.61,16.94915254237288,-2.5878059094009416,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
ACHV,0.0,AVOID,71.27,71.27,77.96610169491525,55.48194407295812,78.57,60.32,77.96610169491525,55.48194407295812,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
ACLX,0.0,AVOID,6.426,6.426,13.559322033898304,-194.79912572590376,10.71,0.0,13.559322033898304,-194.79912572590376,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
ACRS,0.0,AVOID,27.762,27.762,13.559322033898304,43.80716429851421,10.71,53.34,13.559322033898304,43.80716429851421,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
ADCT,0.0,AVOID,60.218,60.218,59.32203389830508,58.54513844165378,58.93,62.15,59.32203389830508,58.54513844165378,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
ADMA,0.0,AVOID,20.786,20.786,16.94915254237288,5.6422433941614685,14.29,30.53,16.94915254237288,5.6422433941614685,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
ADPT,0.0,AVOID,51.294,51.294,54.23728813559322,34.668175006418615,53.57,47.88,54.23728813559322,34.668175006418615,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
AGEN,0.0,AVOID,75.654,75.654,84.7457627118644,55.897538648326965,85.71,60.57,84.7457627118644,55.897538648326965,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
AGIO,0.0,AVOID,41.574,41.574,42.3728813559322,25.380965431440643,41.07,42.33,42.3728813559322,25.380965431440643,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
AGMB,0.0,AVOID,50.0,50.0,,,,,0.0,0.0,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
AKBA,0.0,AVOID,31.112,31.112,33.89830508474576,4.035979854524982,32.14,29.57,33.89830508474576,4.035979854524982,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
AKTS,0.0,AVOID,50.0,50.0,,,,,0.0,0.0,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
ALDX,0.0,AVOID,80.716,80.716,67.79661016949152,214.80241967348047,67.86,100.0,67.79661016949152,214.80241967348047,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
ALEC,0.0,AVOID,44.762,44.762,42.3728813559322,38.71869575254455,41.07,50.3,42.3728813559322,38.71869575254455,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
ALKS,0.0,AVOID,56.052,56.052,69.49152542372882,14.24705172771464,69.64,35.67,69.49152542372882,14.24705172771464,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
ALLO,0.0,AVOID,81.23,81.23,89.83050847457628,65.76750760341129,91.07,66.47,89.83050847457628,65.76750760341129,0.0,0.0,2026-03-08,NB10-v2,Bear,0.0
