ticker,price,prev_close,daily_chg_pct,ytd_pct,52w_high,52w_low,52w_high_pct,52w_low_pct,date
AARD,3.8,3.75,1.3333,-69.8413,17.68,3.36,-78.5068,13.0952,2026-04-01
ABBV,216.62,217.46,-0.3863,,244.805,164.475,-11.5132,31.7039,2026-04-01
ABCL,3.585,3.495,2.5751,,,,,,2026-04-01
ABEO,4.55,4.49,1.3363,,,,,,2026-04-01
ABOS,2.56,2.355,8.7049,,,,,,2026-04-01
ABSI,3.135,3.0,4.5,,,,,,2026-04-01
ABT,103.565,102.63,0.911,,,,,,2026-04-01
ABUS,4.565,4.49,1.6704,,,,,,2026-04-01
ABVX,116.97,111.375,5.0236,,,,,,2026-04-01
ACAD,22.44,22.28,0.7181,,,,,,2026-04-01
ACB,3.385,3.285,3.0441,,,,,,2026-04-01
ACHV,3.185,2.94,8.3333,,,,,,2026-04-01
ACLX,114.84,114.81,0.0261,,,,,,2026-04-01
ACRS,3.925,3.75,4.6667,,,,,,2026-04-01
ADCT,3.79,3.745,1.2016,,,,,,2026-04-01
ADMA,9.135,8.99,1.6129,,,,,,2026-04-01
ADPT,14.485,13.885,4.3212,,,,,,2026-04-01
AGEN,3.41,3.35,1.791,,,,,,2026-04-01
AGIO,34.56,33.83,2.1578,,,,,,2026-04-01
AGMB,11.2,10.655,5.115,,,,,,2026-04-01
AKBA,1.435,1.39,3.2374,,,,,,2026-04-01
AKTS,17.92,17.93,-0.0558,,,,,,2026-04-01
ALDX,1.715,1.7,0.8824,,,,,,2026-04-01
ALEC,2.44,2.15,13.4884,,,,,,2026-04-01
ALKS,35.93,35.38,1.5546,,,,,,2026-04-01
ALLO,2.605,2.44,6.7623,,,,,,2026-04-01
ALMS,23.46,22.03,6.4911,,,,,,2026-04-01
ALNY,329.33,330.89,-0.4715,,,,,,2026-04-01
ALT,3.18,3.07,3.5831,,,,,,2026-04-01
ALVO,3.64,3.42,6.4327,,,,,,2026-04-01
ALXO,2.0,2.005,-0.2494,,,,,,2026-04-01
AMGN,353.17,351.87,0.3695,,,,,,2026-04-01
AMLX,14.1,13.9,1.4388,,,,,,2026-04-01
AMPH,19.85,19.6,1.2755,,,,,,2026-04-01
AMRN,14.05,13.98,0.5007,,,,,,2026-04-01
AMRX,12.62,12.43,1.5286,,,,,,2026-04-01
ANAB,55.63,55.525,0.1891,,,,,,2026-04-01
ANIP,76.865,76.885,-0.026,,,,,,2026-04-01
ANL,7.05,6.9,2.1739,,,,,,2026-04-01
ANNX,5.755,5.55,3.6937,,,,,,2026-04-01
ANRO,23.215,22.555,2.9262,,,,,,2026-04-01
APGE,84.59,84.2,0.4632,,,,,,2026-04-01
APLS,40.395,40.235,0.3977,,,,,,2026-04-01
AQST,4.16,4.15,0.241,,,,,,2026-04-01
ARCT,7.9,7.73,2.1992,,,,,,2026-04-01
ARDX,6.06,5.99,1.1686,,,,,,2026-04-01
ARGX,740.305,730.595,1.3291,,,,,,2026-04-01
ARQT,24.04,23.575,1.9724,,,,,,2026-04-01
ARVN,10.83,10.61,2.0735,,,,,,2026-04-01
ARWR,64.64,62.705,3.0859,,,,,,2026-04-01
ASMB,27.76,26.61,4.3217,-18.8185,39.22,7.78,-29.2198,256.8123,2026-04-01
ASND,227.71,228.65,-0.4111,,248.5,124.52,-8.3662,82.8702,2026-04-01
ATAI,3.62,3.53,2.5496,,,,,,2026-04-01
AUPH,15.2,14.84,2.4259,,,,,,2026-04-01
AURA,6.93,6.69,3.5874,,,,,,2026-04-01
AUTL,1.385,1.38,0.3623,,,,,,2026-04-01
AVBP,23.625,23.1,2.2727,,,,,,2026-04-01
AVIR,5.43,5.375,1.0233,,,,,,2026-04-01
AVTX,16.695,15.02,11.1518,,,,,,2026-04-01
AVXL,3.095,3.065,0.9788,,,,,,2026-04-01
AXSM,172.54,168.8,2.2156,,,,,,2026-04-01
AZN,199.38,197.235,1.0875,,,,,,2026-04-01
BBIO,73.83,74.22,-0.5255,,,,,,2026-04-01
BBOT,9.015,8.95,0.7263,,,,,,2026-04-01
BCAX,20.45,19.875,2.8931,,,,,,2026-04-01
