ticker,company_name,exchange,gics_sub_industry,gics_name,market_cap,addv_usd,mcap_tier,in_xbi,in_ibb,source,universe_date
ABBV,AbbVie Inc.,NYSE,35202010,Pharmaceuticals,407156260864.0,1572772232.5443623,large_cap,True,False,EDGAR,2026-03-19
AMGN,Amgen Inc.,NASDAQ,35201010,Biotechnology,199085768704.0,1030228106.8226186,large_cap,True,True,EDGAR,2026-03-19
GILD,"Gilead Sciences, Inc.",NASDAQ,35201010,Biotechnology,178733531136.0,1041435715.8650609,large_cap,True,True,EDGAR,2026-03-19
VRTX,Vertex Pharmaceuticals Incorpor,NASDAQ,35202010,Pharmaceuticals,116029743104.0,733252367.1864655,large_cap,True,True,EDGAR,2026-03-19
REGN,"Regeneron Pharmaceuticals, Inc.",NASDAQ,35202010,Pharmaceuticals,80368197632.0,523487457.91648763,large_cap,True,True,EDGAR,2026-03-19
ARGX,argenx SE,NASDAQ,35201010,Biotechnology,44562239488.0,280194162.58032227,large_cap,False,True,EDGAR,2026-03-19
ALNY,"Alnylam Pharmaceuticals, Inc.",NASDAQ,35202010,Pharmaceuticals,42483171328.0,430275115.9312439,large_cap,True,True,EDGAR,2026-03-19
ONC,BeOne Medicines Ltd.,NASDAQ,35202010,Pharmaceuticals,33257693184.0,87638359.16489868,large_cap,False,True,EDGAR,2026-03-19
INSM,Insmed Incorporated,NASDAQ,35202010,Pharmaceuticals,30213910528.0,335756739.698967,large_cap,True,True,EDGAR,2026-03-19
NTRA,"Natera, Inc.",NASDAQ,35203010,Life Science Tools & Services,28081213440.0,259904558.5447693,large_cap,True,True,ETF,2026-03-19
BIIB,Biogen Inc.,NASDAQ,35201010,Biotechnology,27122442240.0,227803125.07749838,large_cap,True,True,EDGAR,2026-03-19
BNTX,BioNTech SE,NASDAQ,35201010,Biotechnology,25374115840.0,123173482.38154602,large_cap,False,True,EDGAR,2026-03-19
UTHR,United Therapeutics Corporation,NASDAQ,35202010,Pharmaceuticals,20984477696.0,252321668.13253582,large_cap,True,True,EDGAR,2026-03-19
ROIV,Roivant Sciences Ltd.,NASDAQ,35202010,Pharmaceuticals,20622927872.0,187565484.77333096,large_cap,True,True,EDGAR,2026-03-19
MRNA,"Moderna, Inc.",NASDAQ,35201010,Biotechnology,20592142336.0,494473021.7004059,large_cap,True,True,EDGAR,2026-03-19
EXAS,Exact Sciences Corporation,NASDAQ,35203010,Life Science Tools & Services,19756929024.0,236471045.88731894,large_cap,True,False,ETF,2026-03-19
RVMD,"Revolution Medicines, Inc.",NASDAQ,35201010,Biotechnology,19510169600.0,212491326.66563517,large_cap,True,True,EDGAR,2026-03-19
INCY,Incyte Corporation,NASDAQ,35201010,Biotechnology,19093448704.0,183252051.47423682,large_cap,True,True,ETF,2026-03-19
ILMN,"Illumina, Inc.",NASDAQ,35203010,Life Science Tools & Services,19054397440.0,273803207.12358654,large_cap,False,True,ETF,2026-03-19
GMAB,Genmab A/S,NASDAQ,35202010,Pharmaceuticals,16661348352.0,47305626.69097773,large_cap,False,True,EDGAR,2026-03-19
ASND,Ascendis Pharma A/S,NASDAQ,35202010,Pharmaceuticals,14784086016.0,175406548.41808572,large_cap,False,True,EDGAR,2026-03-19
MEDP,"Medpace Holdings, Inc.",NASDAQ,35203010,Life Science Tools & Services,13355948032.0,202709041.2612427,large_cap,False,True,ETF,2026-03-19
NBIX,"Neurocrine Biosciences, Inc.",NASDAQ,35201010,Biotechnology,12839497728.0,155091484.48001608,large_cap,True,True,EDGAR,2026-03-19
BBIO,"BridgeBio Pharma, Inc.",NASDAQ,35202010,Pharmaceuticals,12738728960.0,227296726.97690555,large_cap,True,True,EDGAR,2026-03-19
IONS,"Ionis Pharmaceuticals, Inc.",NASDAQ,35202010,Pharmaceuticals,12242380800.0,184803865.20057932,large_cap,True,True,EDGAR,2026-03-19
BMRN,BioMarin Pharmaceutical Inc.,NASDAQ,35202010,Pharmaceuticals,11777883136.0,139453854.9352997,large_cap,True,True,EDGAR,2026-03-19
SMMT,Summit Therapeutics Inc.,NASDAQ,35202010,Pharmaceuticals,11754649600.0,34566064.47007809,large_cap,True,True,EDGAR,2026-03-19
EXEL,"Exelixis, Inc.",NASDAQ,35201010,Biotechnology,11145422848.0,129720965.92762998,large_cap,True,True,EDGAR,2026-03-19
MDGL,"Madrigal Pharmaceuticals, Inc.",NASDAQ,35202010,Pharmaceuticals,9864477696.0,163638543.92918295,mid_cap,True,True,EDGAR,2026-03-19
TEM,"Tempus AI, Inc.",NASDAQ,,,9342712832.0,301966664.2348531,mid_cap,False,True,ETF,2026-03-19
IBRX,"ImmunityBio, Inc.",NASDAQ,35201010,Biotechnology,8893163520.0,295057725.5638798,mid_cap,True,True,EDGAR,2026-03-19
ABVX,Abivax SA,NASDAQ,35202010,Pharmaceuticals,8662010880.0,104763987.44241409,mid_cap,False,True,EDGAR,2026-03-19
PRAX,"Praxis Precision Medicines, Inc",NASDAQ,35202010,Pharmaceuticals,8628745216.0,128680631.89235942,mid_cap,True,True,EDGAR,2026-03-19
PCVX,"Vaxcyte, Inc.",NASDAQ,35201010,Biotechnology,8597662720.0,72700561.88551179,mid_cap,True,True,EDGAR,2026-03-19
CRL,Charles River Laboratories Inte,NYSE,35203010,Life Science Tools & Services,8589857280.0,207049735.70373434,mid_cap,False,True,ETF,2026-03-19
TECH,Bio-Techne Corp,NASDAQ,35201010,Biotechnology,8446913536.0,147792387.46245867,mid_cap,False,True,EDGAR,2026-03-19
ARWR,"Arrowhead Pharmaceuticals, Inc.",NASDAQ,35202010,Pharmaceuticals,8366923264.0,202372377.81933442,mid_cap,True,True,EDGAR,2026-03-19
AXSM,"Axsome Therapeutics, Inc.",NASDAQ,35202010,Pharmaceuticals,8316501504.0,98982139.54951376,mid_cap,False,True,EDGAR,2026-03-19
HALO,"Halozyme Therapeutics, Inc.",NASDAQ,35201010,Biotechnology,7946084864.0,138194645.51827875,mid_cap,True,True,EDGAR,2026-03-19
NUVL,"Nuvalent, Inc.",NASDAQ,35202010,Pharmaceuticals,7801165312.0,52130345.52948761,mid_cap,True,True,EDGAR,2026-03-19
KRYS,"Krystal Biotech, Inc.",NASDAQ,35201010,Biotechnology,7434037760.0,77635309.34090169,mid_cap,True,True,EDGAR,2026-03-19
CYTK,"Cytokinetics, Incorporated",NASDAQ,35202010,Pharmaceuticals,7390303744.0,126590239.9131171,mid_cap,True,True,EDGAR,2026-03-19
GRFS,"Grifols, S.A.",NASDAQ,35202010,Pharmaceuticals,7067492864.0,6350091.116240915,mid_cap,False,True,EDGAR,2026-03-19
KYMR,"Kymera Therapeutics, Inc.",NASDAQ,35201010,Biotechnology,6779992064.0,67235166.10987702,mid_cap,True,True,EDGAR,2026-03-19
RGEN,Repligen Corporation,NASDAQ,35201010,Biotechnology,6766211584.0,120898391.64853516,mid_cap,False,True,EDGAR,2026-03-19
